"Plot Title: 10537875"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Detached (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Attached (LGR S/N: 10537875, SEN S/N: 10537875)","Stopped (LGR S/N: 10537875, SEN S/N: 10537875)","End Of File (LGR S/N: 10537875, SEN S/N: 10537875)"
1,07/24/19 02:00:00 PM,7.444,Logged,,,
2,07/24/19 03:00:00 PM,7.393,,,,
3,07/24/19 04:00:00 PM,8.045,,,,
4,07/24/19 05:00:00 PM,8.394,,,,
5,07/24/19 06:00:00 PM,8.095,,,,
6,07/24/19 07:00:00 PM,7.995,,,,
7,07/24/19 08:00:00 PM,7.920,,,,
8,07/24/19 09:00:00 PM,7.770,,,,
9,07/24/19 10:00:00 PM,7.293,,,,
10,07/24/19 11:00:00 PM,7.041,,,,
11,07/25/19 12:00:00 AM,6.763,,,,
12,07/25/19 01:00:00 AM,6.357,,,,
13,07/25/19 02:00:00 AM,6.077,,,,
14,07/25/19 03:00:00 AM,5.872,,,,
15,07/25/19 04:00:00 AM,5.719,,,,
16,07/25/19 05:00:00 AM,5.616,,,,
17,07/25/19 06:00:00 AM,5.591,,,,
18,07/25/19 07:00:00 AM,5.642,,,,
19,07/25/19 08:00:00 AM,5.642,,,,
20,07/25/19 09:00:00 AM,5.745,,,,
21,07/25/19 10:00:00 AM,6.026,,,,
22,07/25/19 11:00:00 AM,6.204,,,,
23,07/25/19 12:00:00 PM,6.661,,,,
24,07/25/19 01:00:00 PM,7.293,,,,
25,07/25/19 02:00:00 PM,7.845,,,,
26,07/25/19 03:00:00 PM,7.895,,,,
27,07/25/19 04:00:00 PM,7.745,,,,
28,07/25/19 05:00:00 PM,7.519,,,,
29,07/25/19 06:00:00 PM,7.795,,,,
30,07/25/19 07:00:00 PM,7.770,,,,
31,07/25/19 08:00:00 PM,7.469,,,,
32,07/25/19 09:00:00 PM,7.192,,,,
33,07/25/19 10:00:00 PM,6.839,,,,
34,07/25/19 11:00:00 PM,6.636,,,,
35,07/26/19 12:00:00 AM,6.331,,,,
36,07/26/19 01:00:00 AM,6.077,,,,
37,07/26/19 02:00:00 AM,5.898,,,,
38,07/26/19 03:00:00 AM,5.770,,,,
39,07/26/19 04:00:00 AM,5.693,,,,
40,07/26/19 05:00:00 AM,5.616,,,,
41,07/26/19 06:00:00 AM,5.642,,,,
42,07/26/19 07:00:00 AM,5.591,,,,
43,07/26/19 08:00:00 AM,5.539,,,,
44,07/26/19 09:00:00 AM,5.565,,,,
45,07/26/19 10:00:00 AM,5.565,,,,
46,07/26/19 11:00:00 AM,5.565,,,,
47,07/26/19 12:00:00 PM,5.668,,,,
48,07/26/19 01:00:00 PM,5.872,,,,
49,07/26/19 02:00:00 PM,6.306,,,,
50,07/26/19 03:00:00 PM,6.458,,,,
51,07/26/19 04:00:00 PM,6.687,,,,
52,07/26/19 05:00:00 PM,7.142,,,,
53,07/26/19 06:00:00 PM,7.645,,,,
54,07/26/19 07:00:00 PM,7.569,,,,
55,07/26/19 08:00:00 PM,7.192,,,,
56,07/26/19 09:00:00 PM,6.788,,,,
57,07/26/19 10:00:00 PM,6.408,,,,
58,07/26/19 11:00:00 PM,6.179,,,,
59,07/27/19 12:00:00 AM,5.898,,,,
60,07/27/19 01:00:00 AM,5.668,,,,
61,07/27/19 02:00:00 AM,5.437,,,,
62,07/27/19 03:00:00 AM,5.308,,,,
63,07/27/19 04:00:00 AM,5.231,,,,
64,07/27/19 05:00:00 AM,5.154,,,,
65,07/27/19 06:00:00 AM,5.154,,,,
66,07/27/19 07:00:00 AM,5.179,,,,
67,07/27/19 08:00:00 AM,5.205,,,,
68,07/27/19 09:00:00 AM,5.411,,,,
69,07/27/19 10:00:00 AM,5.719,,,,
70,07/27/19 11:00:00 AM,6.051,,,,
71,07/27/19 12:00:00 PM,6.636,,,,
72,07/27/19 01:00:00 PM,7.368,,,,
73,07/27/19 02:00:00 PM,7.745,,,,
74,07/27/19 03:00:00 PM,8.394,,,,
75,07/27/19 04:00:00 PM,7.745,,,,
76,07/27/19 05:00:00 PM,7.770,,,,
77,07/27/19 06:00:00 PM,7.720,,,,
78,07/27/19 07:00:00 PM,7.393,,,,
79,07/27/19 08:00:00 PM,7.343,,,,
80,07/27/19 09:00:00 PM,6.864,,,,
81,07/27/19 10:00:00 PM,6.611,,,,
